Name: Samuel Steinberg,,,
"CS420 Project 2 -- February 16th, 2018",,,
Description: The following are the averages over 4 trial runs for each of the listed parameters,,,
,,,
"Experiment 0 Rules: j1=1, j2=-0.1, r1=1, r2=2, h=0",,,
Distance,Joint Entropy,Mutual Info,Correlation
8,1.034052621,0.260819535,0.48444321
9,1.012858409,0.282013747,0.436541975
10,0.986480289,0.308391868,0.396887654
11,0.960450109,0.334422047,0.368483614
12,0.938973412,0.355898745,0.350739506
13,0.923439926,0.37143223,0.341024406
14,0.922684592,0.372187565,0.340633686
,,,
"Experiment 32 Rules: j1=1, j2=-0.1, r1=7, r2=14, h=0",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.546211108,0.998099179,1
1,0.948616146,0.595694141,0.928887654
2,1.025986999,0.518323288,0.877776543
3,1.093502175,0.450808112,0.819258025
4,1.143837522,0.400472766,0.762220988
5,1.182209654,0.362100633,0.704887654
6,1.209891158,0.334419129,0.648146914
7,1.228178033,0.316132254,0.592379718
8,1.238080774,0.306229513,0.538332099
9,1.240655748,0.303654539,0.485430864
10,1.236508537,0.30780175,0.433776543
11,1.226529259,0.317781028,0.38504927
12,1.210892887,0.3334174,0.337406173
13,1.19110852,0.353201767,0.293673979
14,1.16760364,0.376706647,0.253014638
,,,
"Experiment 33 Rules: j1=1, j2=-0.1, r1=7, r2=14, h=3",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.512270609,0.353229708,1
1,0.545416044,0.320084273,0.955554321
2,0.596899655,0.268600663,0.922220988
3,0.634640605,0.230859712,0.890369136
4,0.666373704,0.199126614,0.855554321
5,0.688948951,0.176551366,0.822220988
6,0.704052481,0.161447836,0.790369136
7,0.712977944,0.152522374,0.758728924
8,0.71563481,0.149865508,0.729998765
9,0.713362787,0.15213753,0.705677778
10,0.706731794,0.158768524,0.683109877
11,0.697370662,0.168129656,0.665453311
12,0.688186991,0.177313326,0.65407284
13,0.680144523,0.185355795,0.647178253
14,0.676013755,0.189486563,0.64476067
,,,
,,,
"Experiment 34 Rules: j1=1, j2=-0.1, r1=12, r2=14, h=0",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.568995594,1.431004406,1
